Model,MAE,RMSE,R2,Max_Error,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Low_Precision,Low_Recall,Low_F1,Moderate_Precision,Moderate_Recall,Moderate_F1,High_Precision,High_Recall,High_F1,Very_High_Precision,Very_High_Recall,Very_High_F1
Extra Trees,0.4178391330578646,0.7461802275377774,0.91397202913567,10.120983333333337,0.848,0.834,0.8183,0.824,0.8578,0.848,0.8516,0.9371,0.8973,0.9167,0.6433,0.7525,0.6936,0.798,0.7831,0.7905,0.9576,0.8401,0.895
Gradient Boosting,0.4081748762769852,0.7576505804758998,0.9113068404275692,10.101017304573045,0.8519,0.8369,0.8137,0.8237,0.8575,0.8519,0.854,0.9298,0.9135,0.9216,0.6587,0.7341,0.6943,0.8057,0.7708,0.7878,0.9534,0.8364,0.8911
Random Forest,0.4109845369802115,0.744538442819179,0.9143501791363492,10.08626333333333,0.8446,0.8347,0.8232,0.8266,0.8566,0.8446,0.8489,0.9347,0.8891,0.9113,0.6277,0.7581,0.6867,0.8215,0.7757,0.798,0.9551,0.8699,0.9105
XGBoost,0.4134886146354753,0.7824223476332663,0.9054122927925116,10.180202293395997,0.8519,0.8363,0.8114,0.8222,0.8571,0.8519,0.8538,0.9281,0.9144,0.9212,0.6639,0.7387,0.6993,0.8042,0.7633,0.7832,0.9489,0.829,0.8849
