feature,importance
water_level_current,0.8616708153232847
water_level_previous,0.06376159074704447
water_level_rolling_3,0.020679088986666358
water_level_lag_1,0.012704362086857405
water_level_lag_3,0.007461353614536223
water_level_lag_2,0.0059838820807633746
rainfall_rolling_3,0.0040839265959203945
rainfall_12hr,0.003982256798178352
rainfall_lag_1,0.003869696409814119
rainfall_lag_2,0.0028844427587519953
month_sin,0.0027666082624889683
major_flood_level,0.002595287311801235
month_cos,0.002398647098072478
alert_level,0.0017876635358660645
minor_flood_level,0.0017064752394703334
hour_sin,0.000861400538588487
hour_cos,0.000802502611895109
