Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,High_Risk_Recall,Very_High_Risk_Recall
random_forest,0.7539638127215071,0.6587727904245421,0.5908816504217858,0.6168866046577834,0.4405594405594406,0.5609756097560976
gradient_boosting,0.7493005036373811,0.6251072907430975,0.5077854099810686,0.5450970982848858,0.3706293706293706,0.34146341463414637
xgboost,0.7522850214512218,0.6353995058005937,0.5039283326825282,0.5460974940332771,0.32867132867132864,0.36585365853658536
extra_trees,0.7382950941988435,0.6400685718643273,0.5594462401798663,0.5885759069261092,0.40559440559440557,0.5121951219512195
hybrid,0.7541503450848722,0.6455841509189424,0.5482157253447929,0.583349039593186,0.3986013986013986,0.45121951219512196
